Date,AAPL,ABBV,ABT,ACN,AGN,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BLK,BMY,BRK-B,C,CAT,CELG,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FB,FDX,FOX,FOXA,GD,GE,GILD,GM,GOOG,GOOGL,GS,HAL,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MON,MRK,MS,MSFT,NEE,NKE,ORCL,OXY,PCLN,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TWX,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
2007-07-31,16.934092,,18.578871,33.866596,29.243116,977.105408,40.976654,47.017021,78.540001,49.372955,79.41114,40.124187,56.540001,35.027981,124.924622,19.274813,72.080002,418.48468,58.83152,30.280001,26.122768,11.092964,59.970451,42.792065,46.269585,24.092047,30.63187,59.062702,31.416578,27.399572,28.709608,30.346083,31.113777,34.431141,45.768597,6.789338,,104.008324,18.206476,16.890713,62.149521,26.93998,17.699879,,254.04776,255.255249,166.951431,31.645075,28.499435,44.636375,87.261887,17.097874,44.43544,34.521412,,,19.281261,35.892105,70.942444,23.488209,15.371407,34.540295,16.533352,41.132915,41.773178,68.486504,12.144132,54.860809,33.733307,54.585514,22.559017,41.34803,12.261715,17.348675,41.304127,63.799999,49.217545,15.329747,45.623051,,,33.654003,42.240421,11.925111,79.320152,20.745157,57.875443,22.905998,47.532616,37.553612,27.976204,43.147751,24.389065,56.080811,23.326054,57.298874,,24.207594,36.328484,25.789339,35.865227,64.535332
2007-08-01,17.35051,,18.674162,33.392315,29.175821,983.042847,41.269619,45.573421,77.309998,50.292259,80.255676,40.301876,55.630001,34.542286,121.768181,19.451206,71.989998,421.000793,59.824478,30.01,26.633354,11.016955,59.292454,42.744423,46.517178,24.808725,30.936527,59.000328,31.81996,27.810486,29.431702,30.8207,32.191715,35.023651,48.345718,6.725513,,104.384026,18.335026,16.986681,62.0704,27.072046,17.638073,,255.512283,256.726715,167.536484,31.328796,28.959478,44.356956,88.358055,17.228176,44.773277,34.811657,,,19.710468,35.965103,73.262024,23.739775,14.338996,34.828918,16.371803,42.553535,42.883057,68.602058,12.164229,55.473682,34.664124,55.021362,22.800245,42.587109,12.359462,17.956604,41.660946,62.27,49.825081,15.407992,46.581825,,,33.443916,43.911423,12.157537,79.236427,21.528349,57.995865,23.531879,47.509079,36.344719,27.912607,42.755753,24.430008,56.976952,23.738832,58.618069,,24.559742,36.780743,26.331558,36.075966,65.073547
2007-08-02,17.542011,,18.769455,33.914829,30.512045,971.472351,41.462372,45.004749,79.709999,51.371807,81.330582,40.428799,56.490002,34.937416,123.710571,19.417282,71.760002,429.455383,60.227638,30.209999,26.617523,10.898723,60.34338,42.485046,47.074261,25.108728,32.024639,58.113636,31.692232,28.33148,29.892799,31.106833,32.849426,34.848103,48.848087,6.701581,,104.149231,18.439476,17.034664,63.541859,27.127638,17.92808,,254.550888,255.760757,166.17131,31.153084,28.997822,45.831635,89.296532,17.590111,44.824692,34.976364,,,19.854773,36.230522,73.751907,23.873953,13.633524,35.348427,16.432388,42.959427,44.18716,68.640541,12.266545,55.311958,35.085358,54.59407,22.971449,42.873596,12.370322,18.228811,41.486176,64.099998,50.110096,15.551446,46.685078,,,33.969147,44.827038,12.032386,77.042381,21.798479,58.41724,23.748306,49.518051,36.851654,27.682058,43.085392,24.563068,56.717731,23.676527,58.704464,,24.497267,36.846539,26.285732,36.474049,64.573227
2007-08-03,16.945665,,18.725477,32.958241,30.089075,938.435364,39.789387,44.532303,76.800003,48.487366,80.033035,39.768806,56.650002,33.463875,118.267204,18.996641,71.980003,415.637238,58.950985,29.73,26.201931,10.797375,57.071949,41.071701,46.803463,24.55039,31.711266,56.1255,31.161112,27.814157,29.492605,29.934311,31.259941,34.065392,46.381878,6.430326,,101.960838,17.997572,16.562815,62.87735,26.453445,17.557255,,250.560837,251.751755,159.274841,30.107622,27.748034,45.156391,88.239754,17.38866,44.472149,34.239052,,,19.714167,35.918644,71.583565,23.018608,12.547581,35.009312,16.134529,41.936584,42.307301,67.439049,12.167885,54.545864,34.168159,51.807949,22.535675,40.903969,12.272577,17.838644,40.240932,61.560001,49.855095,15.329747,46.37532,,,32.942947,44.987259,11.759734,73.475006,20.97496,56.872192,23.075628,47.485535,36.286213,26.823456,42.319191,23.388033,55.673439,22.788656,58.052704,,24.281435,36.254482,25.056219,35.529613,62.223198
2007-08-06,17.382633,,19.469511,33.528976,30.790823,982.890625,41.840137,45.293468,79.0,50.798302,80.109795,40.750328,56.740002,35.70303,122.418274,19.349443,73.400002,439.546387,60.47401,30.504999,26.855,10.945173,59.538246,41.791615,48.691391,24.583721,32.459866,56.818214,32.028358,28.852472,29.840595,30.039,32.703281,35.191891,48.456646,6.53404,,104.092865,18.126127,16.746754,63.217522,27.176298,18.137264,,254.04776,255.255249,166.463852,30.133993,28.284748,45.754021,89.817032,17.548655,45.757473,35.384262,,,20.065676,37.3055,72.64975,23.513371,13.155555,35.68755,16.508112,43.276028,44.013744,67.600754,12.602713,54.401157,34.888329,54.722252,22.987009,43.503891,12.483274,18.219736,39.534557,61.720001,51.38517,15.720979,47.938869,,,33.759052,45.696865,12.018974,73.064651,22.029324,59.012497,23.549423,48.333076,36.03273,27.038099,43.210114,23.478107,57.643536,24.237284,58.775127,,24.661982,37.126106,26.545385,36.700405,63.329967
2007-08-07,17.354368,,19.902008,33.729942,31.01193,997.962891,41.840137,44.960995,79.139999,50.966984,79.24987,41.181881,58.279999,36.59211,123.804619,19.620819,73.839996,441.728119,60.05595,30.49,27.234972,10.928282,59.843342,42.336826,49.821041,24.74206,33.17366,57.621807,31.867029,29.212021,30.058092,30.052956,34.457188,35.418663,48.645832,6.6218,,104.543686,17.949364,16.490837,61.896362,27.440407,17.999393,,257.046539,258.26828,169.53093,30.476625,27.90905,45.691929,89.533127,17.548655,45.595894,35.564671,,,20.150784,37.504562,70.783974,23.412745,13.79125,35.882366,16.442476,43.608845,44.714355,67.801041,12.64656,55.907791,35.078571,54.978642,22.994791,45.065266,12.61143,17.856792,40.306473,65.089996,51.872696,15.877467,48.108501,,,32.724777,45.269592,12.121777,74.329147,22.678165,59.514149,23.666412,49.172764,36.286213,27.038099,42.755753,23.924374,57.576881,24.330751,58.22546,,24.48592,37.413891,26.644663,36.731613,64.967415
2007-08-08,17.223278,,20.635046,33.295853,29.358473,1012.121765,41.732197,45.494694,77.779999,53.1008,79.134315,42.05341,58.889999,37.02018,127.266472,20.306053,73.739998,449.909973,60.399376,30.809999,27.056864,10.860716,60.697128,42.702084,50.254333,26.400417,33.67852,58.418449,33.231796,30.000834,29.831898,30.241404,35.699532,35.528385,49.846325,7.076549,,103.397858,18.318958,16.762751,61.967583,28.121552,18.265629,,261.908295,263.153168,171.348129,30.283337,28.982477,44.822639,89.414406,17.94865,45.89703,36.48241,,,20.6688,38.752056,68.19783,23.873953,14.14973,36.286438,16.548496,43.803684,45.088947,67.893463,12.715986,58.733826,35.574547,55.884556,23.344969,44.836079,12.296472,18.328623,41.041981,79.559998,52.457718,16.240417,48.056866,,,32.441967,43.148399,12.389959,78.482727,23.002583,63.567375,23.602068,51.173901,37.007656,26.815495,42.381546,24.37269,58.043495,24.143824,58.146923,,24.531345,38.096401,26.960577,37.793137,66.635201
2007-08-09,16.243931,,20.132915,31.993608,28.445223,978.932434,39.450153,44.611053,74.110001,51.152527,75.729233,40.911095,58.130001,35.760658,122.520073,19.118771,72.860001,426.364624,58.592613,29.855,26.320673,10.5778,57.653343,41.41048,48.931232,26.167082,32.808044,56.187836,32.983044,29.854088,28.709608,29.417831,35.443775,33.516773,49.096016,6.685624,,102.843704,18.005608,16.64279,58.73193,27.065086,17.737911,,256.403931,257.62262,161.553055,29.378437,27.441347,44.069786,87.633705,17.395933,44.677799,34.646915,,,20.6651,38.3871,65.813393,23.001835,13.505428,36.026691,15.877064,43.381565,42.029839,66.899895,12.363376,59.133907,34.949471,52.824966,22.800245,43.869164,11.707822,18.228811,39.760311,75.980003,51.377647,15.930262,47.916737,,,30.882509,41.393478,12.537456,77.209877,23.089933,64.229546,22.958641,49.062897,36.383717,26.338501,41.276794,23.684874,57.843506,23.271534,56.827747,,23.810005,38.76244,26.321039,36.255501,63.62883
2007-08-10,16.065285,,20.239204,31.503246,29.916037,984.565308,40.159439,43.814888,74.779999,51.262157,75.837074,41.114189,57.849998,34.846889,123.749786,19.552979,72.5,427.273529,57.898277,29.785,26.498785,10.742481,58.585979,41.399891,48.938976,26.158741,33.077892,57.788067,32.667053,29.241377,28.84881,29.271261,35.644726,34.445774,47.530163,6.565952,,102.411674,17.684221,16.41086,61.16066,26.571596,17.619057,,256.912018,258.133148,160.001816,29.193949,27.541018,43.472153,89.145332,17.439566,44.912842,34.709675,,,20.343187,37.929241,67.938477,23.278576,13.230118,35.651459,16.225403,43.073086,43.0634,66.214417,12.312219,58.103931,34.569008,51.303715,22.341129,43.117123,12.116183,18.138079,40.517654,76.82,50.965134,15.831278,48.226494,,,30.615849,42.003891,12.53299,77.126129,22.871565,60.858547,22.736378,48.937347,36.30571,26.306696,42.301369,23.879341,56.843636,23.333841,57.385262,,23.474899,38.170403,26.505972,35.958885,64.321426
2007-08-13,16.423866,,19.751728,32.226723,31.002316,986.240112,40.321342,44.847252,74.870003,50.140438,77.077385,41.038036,58.830002,34.542286,119.661324,19.647959,72.779999,423.091736,58.159592,30.190001,26.241516,10.877612,58.051849,41.923931,47.801582,25.69207,33.016964,57.116112,32.484146,28.665354,28.918406,29.040951,34.712963,35.191891,47.786179,6.677647,,103.388466,17.917225,16.658783,61.57201,26.529894,17.785454,,256.787506,258.007996,157.342453,29.185158,27.019644,43.844685,89.200714,17.468658,45.133175,34.380222,,,20.172983,38.059608,70.596642,23.094088,13.057094,35.1464,16.255695,42.829544,43.542053,66.430061,12.31587,57.491055,34.351593,50.970406,22.278881,43.167248,12.196549,17.893089,40.488529,77.650002,51.062641,15.765285,47.407845,,,31.448107,43.087376,12.430185,75.936981,22.085476,61.099323,22.859205,49.651459,36.656677,26.370295,43.691219,24.149559,56.814018,23.209229,58.11552,,23.656649,37.529026,26.12071,36.036945,63.111259
2007-08-14,15.940619,,19.23127,31.591671,30.30056,965.687012,40.375305,44.899761,73.449997,48.327118,75.213058,40.496494,59.450001,33.134579,115.063759,19.335869,72.57,415.091736,57.315922,30.094999,25.905081,10.76782,55.957676,41.743965,47.043316,25.217066,32.512089,57.116112,31.948959,28.015953,28.152815,28.601252,33.89082,34.372623,46.466789,6.438304,,101.031021,17.258387,16.050978,59.776196,26.189331,17.909061,,253.350388,254.55455,150.472519,28.895241,25.700865,43.751564,88.678383,17.308664,44.898136,33.964497,,,20.032379,37.063484,69.199135,22.431618,12.763621,34.634102,16.397045,42.853897,42.494595,66.052666,12.208076,55.797134,33.923542,49.209866,22.075851,42.50116,11.872901,17.557369,40.226376,73.529999,50.372616,15.560712,46.994846,,,30.526962,42.339607,12.135188,74.672485,21.867115,59.507431,22.379562,47.155933,35.467293,26.203341,43.192287,23.16081,56.073406,23.014519,57.149666,,23.264738,37.191891,25.93578,34.202717,63.271095
2007-08-15,15.40982,,19.187292,31.229935,30.16576,962.489868,40.614319,44.261082,72.379997,47.854824,73.579842,40.809578,58.459999,32.755905,113.802803,18.922016,73.099998,414.637177,55.957153,30.105,25.691357,10.594687,53.439579,40.960537,45.255989,24.933727,31.946289,56.341709,31.786367,27.344543,27.587326,28.035933,33.354614,33.749577,45.370602,6.382458,,100.185768,17.049484,15.90702,59.55468,25.647194,17.97562,,247.846008,249.024017,146.173325,28.578962,25.578188,42.470913,88.029411,16.886858,45.023003,33.729168,,,19.917675,36.889683,68.31308,22.07942,12.335363,34.316628,16.028519,42.74025,41.384705,65.513527,12.054608,54.026627,33.821632,48.397949,21.943096,42.23616,11.636138,17.403116,39.454464,75.370003,50.507618,15.527719,46.817837,,,29.161423,41.881817,11.875946,73.056274,21.842155,57.859917,22.22163,45.602131,35.72076,25.694544,43.762486,22.036951,54.977253,23.115768,56.495075,,23.003464,36.682072,25.866432,33.951683,62.175121
2007-08-16,15.043532,,19.007696,30.112577,29.385857,973.603699,42.302715,43.228699,72.790001,49.060875,71.445839,42.180328,59.099998,34.361179,120.052933,18.569225,75.830002,432.27359,54.501289,29.424999,25.901121,10.548238,54.991123,40.907616,45.828548,24.417049,31.772184,56.781239,32.518021,27.469282,28.344219,27.81259,33.705925,33.411194,44.221897,6.143116,,97.837723,16.945036,15.819045,59.910686,25.855703,17.875782,,244.84227,246.006012,150.561172,28.086981,25.164156,42.198021,86.810638,16.799582,45.265369,35.666634,,,19.825171,36.655674,68.795715,22.481932,12.427135,34.684616,15.725609,42.545422,42.328121,65.775383,12.124039,53.388199,33.604229,50.397793,21.716633,42.465355,11.553597,17.366817,38.668007,72.400002,51.280167,15.435328,47.223465,,,29.840153,42.118343,11.893824,71.883904,22.110426,59.331894,22.180681,47.002354,35.506283,25.861498,43.530849,21.494478,55.414227,24.478727,56.061272,,22.850111,37.180611,27.276493,34.124264,61.398773
2007-08-17,15.687428,,19.326572,31.189741,29.116266,1004.204834,43.489994,43.814888,75.019997,49.668133,73.903389,43.796463,60.200001,35.760658,126.295273,18.76597,78.959999,443.72818,54.232506,29.635,26.665016,10.662254,58.289242,41.886879,45.163124,24.99206,32.050735,58.853245,32.050568,28.081985,28.431217,28.719906,33.946281,34.065876,46.814693,6.24683,,101.434898,17.475319,16.434851,61.295132,26.724514,18.06595,,249.086365,250.270264,155.126389,28.332972,25.539854,42.463123,87.768234,17.235935,45.551815,36.874619,,,20.147083,37.310848,69.314423,22.532251,13.096287,34.323833,15.806391,43.06496,44.839211,67.64698,12.348759,53.703152,33.712925,53.183914,22.060228,42.973881,11.831635,17.557369,39.563702,73.309998,52.037701,15.798283,48.196995,,,30.333046,42.98056,11.934052,74.161652,22.459805,61.803234,22.84166,48.127281,35.662273,26.306696,44.368324,21.684855,56.525188,25.553514,58.222324,,23.173866,37.633816,28.69425,34.116413,64.03981
2007-08-20,15.707994,,19.201954,31.832827,28.692621,1001.007813,42.66507,43.561165,74.699997,49.491024,74.889503,43.449539,59.959999,35.044445,123.828094,19.078062,79.239998,439.909851,55.285198,29.355,26.360254,10.400445,56.568111,42.273323,44.822689,24.800388,31.850531,59.222973,32.341892,28.048979,28.631311,29.173561,33.83535,34.669075,46.86063,6.382458,,102.30838,17.491388,16.298903,61.310951,26.564659,17.980377,,248.030319,249.209213,153.140686,28.666815,25.907888,43.523521,86.438667,17.534115,45.412285,36.466732,,,20.172983,37.190514,69.29998,23.899101,13.182321,34.843349,16.003277,43.040611,44.207981,67.985855,12.240969,54.290478,33.957527,53.551395,22.068041,42.658722,11.812084,17.339602,40.080719,75.830002,51.460163,15.950057,47.946251,,,30.236078,43.552803,12.027914,75.953735,22.466034,63.234699,22.607691,46.483177,35.915752,26.608799,44.145584,22.872169,56.24374,25.397747,58.916374,,23.349939,37.048759,28.58638,34.194866,64.336647
